client_id,Variation,age_group,gender_clean
805150,Test,45–60,Unknown
908893,Test,60+,Male
9328539,Control,30–45,Male
9638116,Control,<30,Female
5249795,Control,<30,Male
6395301,Test,30–45,Unknown
8811641,Control,<30,Male
5516984,Test,60+,Male
9175519,Test,45–60,Male
4504614,Control,60+,Male
5416455,Test,30–45,Female
1903850,Test,45–60,Male
3948817,Test,45–60,Unknown
3741118,Test,60+,Female
3240177,Test,30–45,Male
930347,Test,45–60,Male
1975168,Control,30–45,Male
929152,Test,60+,Unknown
2472976,Control,60+,Female
1387501,Control,45–60,Unknown
5473913,Test,60+,Unknown
9520667,Test,60+,Female
6702347,Test,60+,Unknown
983062,Test,60+,Female
8262941,Control,<30,Unknown
2210348,Control,<30,Unknown
2884298,Control,30–45,Unknown
251727,Control,30–45,Unknown
8400843,Test,30–45,Unknown
5727622,Test,45–60,Unknown
944222,Test,<30,Unknown
6877738,Test,<30,Unknown
3798677,Test,30–45,Unknown
2960870,Control,60+,Female
3708082,Test,30–45,Male
8387066,Test,60+,Male
2201895,Control,45–60,Female
6483346,Test,45–60,Male
7013272,Test,<30,Female
8905187,Test,45–60,Male
9173025,Control,30–45,Male
6331923,Test,<30,Female
5191995,Control,60+,Female
2341792,Control,60+,Male
4143163,Test,30–45,Male
9409779,Test,30–45,Male
9210764,Control,<30,Unknown
4005695,Test,30–45,Unknown
3959519,Control,45–60,Male
4298977,Control,30–45,Unknown
4848547,Control,60+,Male
1247961,Test,45–60,Unknown
9813394,Control,45–60,Female
4928062,Control,60+,Female
8580825,Control,60+,Unknown
9942122,Test,<30,Unknown
1509726,Control,<30,Female
4318140,Control,45–60,Female
58917,Control,60+,Male
2152611,Control,60+,Male
1337604,Control,60+,Male
1673179,Test,60+,Unknown
975800,Test,30–45,Female
1661130,Test,45–60,Male
3705725,Test,60+,Male
2833480,Control,60+,Male
1192577,Test,30–45,Male
4435512,Control,<30,Unknown
1168373,Control,60+,Male
5961178,Control,30–45,Male
6531046,Test,60+,Female
5475948,Control,<30,Male
6102903,Test,45–60,Male
6424307,Test,45–60,Female
4684538,Test,60+,Male
1363737,Test,30–45,Unknown
6564909,Test,45–60,Unknown
55448,Control,45–60,Female
8685525,Control,30–45,Female
6412875,Test,45–60,Male
4561742,Control,30–45,Male
8366482,Control,30–45,Male
8796890,Test,45–60,Male
1350724,Control,30–45,Unknown
5956882,Control,30–45,Male
501426,Test,<30,Unknown
3198093,Test,45–60,Female
9777569,Test,45–60,Unknown
5751427,Control,30–45,Female
5504559,Control,30–45,Male
3832843,Test,30–45,Female
5451021,Test,60+,Unknown
7877574,Control,60+,Female
187901,Control,60+,Male
3292271,Control,30–45,Unknown
5227643,Test,45–60,Unknown
6979219,Control,60+,Male
1963327,Test,60+,Female
6571762,Test,60+,Male
3010146,Control,45–60,Female
2790667,Test,<30,Unknown
634434,Test,60+,Male
5280625,Control,60+,Female
1595883,Test,45–60,Female
6947960,Test,60+,Female
333744,Test,30–45,Female
2846274,Control,<30,Female
5922473,Test,45–60,Unknown
8371066,Control,<30,Male
996857,Control,<30,Unknown
5700177,Control,<30,Female
148954,Control,45–60,Female
8501949,Test,<30,Unknown
2097722,Control,30–45,Female
5640846,Control,45–60,Female
7650516,Control,30–45,Male
2442931,Control,<30,Male
4410485,Test,30–45,Unknown
429189,Control,45–60,Male
1446469,Control,<30,Male
8211143,Control,45–60,Unknown
3550308,Test,45–60,Male
7244004,Test,45–60,Female
9459952,Control,45–60,Unknown
3322887,Test,<30,Male
6684040,Test,30–45,Unknown
9058648,Control,45–60,Male
3661101,Test,30–45,Male
3590118,Control,45–60,Female
1338332,Test,45–60,Female
5283980,Control,30–45,Male
5268068,Test,60+,Female
7291872,Control,60+,Female
6427526,Control,60+,Male
2313632,Test,<30,Male
1237163,Test,60+,Female
7296342,Test,<30,Male
1463659,Control,60+,Female
7207836,Test,<30,Female
432402,Control,30–45,Unknown
736752,Control,30–45,Male
5570251,Test,45–60,Female
8943527,Test,30–45,Female
7139038,Test,30–45,Unknown
7068283,Control,45–60,Male
7253866,Control,60+,Male
5155886,Test,<30,Unknown
6856615,Control,60+,Unknown
6352581,Test,30–45,Unknown
3806151,Control,30–45,Male
7382711,Test,60+,Female
2235488,Control,<30,Unknown
4280389,Control,30–45,Male
1179872,Control,<30,Unknown
2096040,Test,30–45,Female
5078188,Test,30–45,Female
9206649,Control,60+,Unknown
7972854,Test,30–45,Unknown
3678087,Test,45–60,Male
7352107,Test,<30,Female
7759130,Test,60+,Unknown
1855518,Control,60+,Female
8688968,Control,<30,Unknown
9077107,Test,<30,Unknown
7788831,Control,<30,Unknown
2805354,Control,45–60,Male
683558,Control,<30,Unknown
1724424,Control,45–60,Male
4717410,Control,60+,Male
7795722,Control,60+,Male
2933864,Control,45–60,Male
8727501,Test,60+,Male
747959,Test,<30,Unknown
7334704,Test,30–45,Unknown
8987178,Control,<30,Unknown
927516,Test,30–45,Male
6719942,Test,45–60,Male
3070675,Control,45–60,Unknown
4868973,Test,45–60,Male
6683919,Test,45–60,Unknown
2459355,Control,30–45,Unknown
3049191,Control,30–45,Unknown
7525715,Test,60+,Unknown
918538,Control,45–60,Male
3966534,Test,<30,Unknown
222315,Control,30–45,Male
9373092,Control,30–45,Female
5910608,Control,30–45,Unknown
4965189,Control,30–45,Male
4079367,Control,60+,Female
8322930,Control,60+,Female
2804455,Control,<30,Female
7020801,Control,<30,Female
3890873,Test,30–45,Unknown
9965963,Control,30–45,Unknown
7045562,Control,30–45,Unknown
2041298,Test,30–45,Female
4494336,Control,60+,Female
9735397,Control,45–60,Male
9591707,Control,45–60,Male
5291423,Control,<30,Unknown
9552811,Test,45–60,Female
1263455,Test,<30,Unknown
9522528,Control,30–45,Male
4077516,Test,45–60,Male
2119078,Test,45–60,Male
4209572,Test,45–60,Male
7776170,Test,45–60,Female
4252737,Control,45–60,Unknown
1062828,Control,30–45,Female
9769690,Control,30–45,Male
8006386,Control,30–45,Female
9363715,Control,45–60,Female
7008109,Test,60+,Male
8345634,Control,45–60,Female
9639863,Test,60+,Male
9319290,Test,30–45,Male
4670854,Control,60+,Unknown
2495355,Test,60+,Unknown
4688123,Control,30–45,Unknown
2113915,Test,30–45,Unknown
8722759,Test,45–60,Male
7781517,Control,60+,Unknown
8522060,Control,30–45,Female
7112350,Test,60+,Female
5297688,Test,60+,Unknown
3086399,Control,45–60,Male
2834681,Control,30–45,Female
7908614,Test,45–60,Female
1946252,Control,45–60,Male
6944375,Control,30–45,Male
7369782,Test,60+,Unknown
9943260,Test,45–60,Female
3344232,Test,<30,Unknown
